node_name,type,lng,lat,storage_capacity,initial_inventory,holding_cost,renting_cost
Dalian Port,seaport,121.6338,38.9156,5049,252,67,2178
Yingkou Port,seaport,122.2327,40.6628,4765,238,63,1834
Dandong Port,seaport,123.7345,39.9703,5372,268,76,2492
Shenyang,dryport,123.45861385456854,41.67520983545736,2953,147,37,3655
Anshan,dryport,122.988710400541,41.10633823780713,2827,141,37,4208
Changchun,dryport,125.3171543812934,43.81455528760234,3023,151,33,4212
Tonghua,dryport,125.93407202023883,41.72615590762644,3137,156,31,3702
Harbin,dryport,128.02898733565797,45.800983174891144,2820,141,37,4477
Shenyang_Sujiatun,shipper,123.342,41.665,,,,
Anshan_Xiuyan,shipper,123.288,40.285,,,,
Changchun_Jingkai,shipper,125.296939,43.788735,,,,
Shenyang_Tiexi,consignee,123.376,41.803,,,,
Anshan_Tiedong,consignee,122.991,41.11,,,,
Changchun_Lvyuan,consignee,125.2012,43.789,,,,
Tonghua_Dongchang,consignee,125.955,41.728,,,,
Harbin_Songbei,consignee,126.51,45.808,,,,
