node,period,type,quantity
Dalian Port,1,supply,170
Dalian Port,2,supply,162
Dalian Port,3,supply,170
Dalian Port,4,supply,154
Dalian Port,5,supply,125
Dalian Port,6,supply,148
Dalian Port,7,supply,121
Dalian Port,8,supply,133
Dalian Port,9,supply,125
Dalian Port,10,supply,137
Dalian Port,11,supply,162
Dalian Port,12,supply,142
Dalian Port,13,supply,121
Dalian Port,14,supply,177
Dalian Port,15,supply,155
Yingkou Port,1,supply,169
Yingkou Port,2,supply,162
Yingkou Port,3,supply,154
Yingkou Port,4,supply,150
Yingkou Port,5,supply,179
Yingkou Port,6,supply,147
Yingkou Port,7,supply,142
Yingkou Port,8,supply,166
Yingkou Port,9,supply,177
Yingkou Port,10,supply,182
Yingkou Port,11,supply,179
Yingkou Port,12,supply,151
Yingkou Port,13,supply,168
Yingkou Port,14,supply,129
Yingkou Port,15,supply,175
Dandong Port,1,supply,189
Dandong Port,2,supply,130
Dandong Port,3,supply,134
Dandong Port,4,supply,128
Dandong Port,5,supply,150
Dandong Port,6,supply,161
Dandong Port,7,supply,182
Dandong Port,8,supply,176
Dandong Port,9,supply,186
Dandong Port,10,supply,172
Dandong Port,11,supply,151
Dandong Port,12,supply,176
Dandong Port,13,supply,149
Dandong Port,14,supply,140
Dandong Port,15,supply,187
Shenyang,1,supply,200
Shenyang,2,supply,196
Shenyang,3,supply,167
Shenyang,4,supply,171
Shenyang,5,supply,210
Shenyang,6,supply,174
Shenyang,7,supply,239
Shenyang,8,supply,188
Shenyang,9,supply,218
Shenyang,10,supply,191
Shenyang,11,supply,172
Shenyang,12,supply,228
Shenyang,13,supply,170
Shenyang,14,supply,161
Shenyang,15,supply,179
Anshan,1,supply,184
Anshan,2,supply,203
Anshan,3,supply,212
Anshan,4,supply,203
Anshan,5,supply,213
Anshan,6,supply,224
Anshan,7,supply,175
Anshan,8,supply,160
Anshan,9,supply,190
Anshan,10,supply,206
Anshan,11,supply,238
Anshan,12,supply,187
Anshan,13,supply,239
Anshan,14,supply,207
Anshan,15,supply,188
Changchun,1,supply,207
Changchun,2,supply,203
Changchun,3,supply,165
Changchun,4,supply,171
Changchun,5,supply,213
Changchun,6,supply,182
Changchun,7,supply,197
Changchun,8,supply,215
Changchun,9,supply,211
Changchun,10,supply,176
Changchun,11,supply,205
Changchun,12,supply,148
Changchun,13,supply,182
Changchun,14,supply,213
Changchun,15,supply,209
Tonghua,1,supply,156
Tonghua,2,supply,162
Tonghua,3,supply,164
Tonghua,4,supply,185
Tonghua,5,supply,180
Tonghua,6,supply,205
Tonghua,7,supply,171
Tonghua,8,supply,147
Tonghua,9,supply,156
Tonghua,10,supply,214
Tonghua,11,supply,208
Tonghua,12,supply,212
Tonghua,13,supply,211
Tonghua,14,supply,177
Tonghua,15,supply,148
Harbin,1,supply,172
Harbin,2,supply,236
Harbin,3,supply,176
Harbin,4,supply,226
Harbin,5,supply,219
Harbin,6,supply,169
Harbin,7,supply,184
Harbin,8,supply,171
Harbin,9,supply,190
Harbin,10,supply,171
Harbin,11,supply,213
Harbin,12,supply,196
Harbin,13,supply,163
Harbin,14,supply,201
Harbin,15,supply,190
Shenyang_Yuhong,1,supply,11
Shenyang_Yuhong,2,supply,9
Shenyang_Yuhong,3,supply,13
Shenyang_Yuhong,4,supply,12
Shenyang_Yuhong,5,supply,12
Shenyang_Yuhong,6,supply,10
Shenyang_Yuhong,7,supply,14
Shenyang_Yuhong,8,supply,10
Shenyang_Yuhong,9,supply,9
Shenyang_Yuhong,10,supply,13
Shenyang_Yuhong,11,supply,13
Shenyang_Yuhong,12,supply,11
Shenyang_Yuhong,13,supply,11
Shenyang_Yuhong,14,supply,13
Shenyang_Yuhong,15,supply,13
Shenyang_Tiexi,1,supply,14
Shenyang_Tiexi,2,supply,11
Shenyang_Tiexi,3,supply,11
Shenyang_Tiexi,4,supply,10
Shenyang_Tiexi,5,supply,10
Shenyang_Tiexi,6,supply,12
Shenyang_Tiexi,7,supply,10
Shenyang_Tiexi,8,supply,12
Shenyang_Tiexi,9,supply,9
Shenyang_Tiexi,10,supply,13
Shenyang_Tiexi,11,supply,13
Shenyang_Tiexi,12,supply,10
Shenyang_Tiexi,13,supply,10
Shenyang_Tiexi,14,supply,11
Shenyang_Tiexi,15,supply,14
Shenyang_Liaozhong,1,supply,11
Shenyang_Liaozhong,2,supply,10
Shenyang_Liaozhong,3,supply,11
Shenyang_Liaozhong,4,supply,12
Shenyang_Liaozhong,5,supply,12
Shenyang_Liaozhong,6,supply,10
Shenyang_Liaozhong,7,supply,12
Shenyang_Liaozhong,8,supply,11
Shenyang_Liaozhong,9,supply,12
Shenyang_Liaozhong,10,supply,13
Shenyang_Liaozhong,11,supply,10
Shenyang_Liaozhong,12,supply,12
Shenyang_Liaozhong,13,supply,13
Shenyang_Liaozhong,14,supply,14
Shenyang_Liaozhong,15,supply,10
Anshan_Tiedong,1,supply,10
Anshan_Tiedong,2,supply,11
Anshan_Tiedong,3,supply,12
Anshan_Tiedong,4,supply,10
Anshan_Tiedong,5,supply,11
