from,to,mode,distance_km,transit_time,capacity,unit_cost
dalian,shenyang,road,344.17706401860187,0,5000.0,1548.7967880837084
shenyang,dalian,road,344.17706401860187,0,5000.0,1548.7967880837084
dalian,shenyang,rail,344.17706401860187,1,5000.0,619.5187152334834
shenyang,dalian,rail,344.17706401860187,1,5000.0,619.5187152334834
yingkou,shenyang,road,152.79058173192587,0,5000.0,687.5576177936664
shenyang,yingkou,road,152.79058173192587,0,5000.0,687.5576177936664
yingkou,shenyang,rail,152.79058173192587,1,5000.0,275.02304711746655
shenyang,yingkou,rail,152.79058173192587,1,5000.0,275.02304711746655
dalian,anshan,road,269.9516039353306,0,5000.0,1214.7822177089877
anshan,dalian,road,269.9516039353306,0,5000.0,1214.7822177089877
dalian,anshan,rail,269.9516039353306,1,5000.0,485.9128870835951
anshan,dalian,rail,269.9516039353306,1,5000.0,485.9128870835951
yingkou,anshan,road,80.7803284362209,0,5000.0,363.51147796299404
anshan,yingkou,road,80.7803284362209,0,5000.0,363.51147796299404
yingkou,anshan,rail,80.7803284362209,1,5000.0,145.40459118519763
anshan,yingkou,rail,80.7803284362209,1,5000.0,145.40459118519763
dalian,changchun,road,624.998751900124,0,5000.0,2812.4943835505583
changchun,dalian,road,624.998751900124,0,5000.0,2812.4943835505583
dalian,changchun,rail,624.998751900124,1,5000.0,1124.9977534202233
changchun,dalian,rail,624.998751900124,1,5000.0,1124.9977534202233
dandong,changchun,road,446.64603343160684,0,5000.0,2009.9071504422309
changchun,dandong,road,446.64603343160684,0,5000.0,2009.9071504422309
dandong,changchun,rail,446.64603343160684,1,5000.0,803.9628601768924
changchun,dandong,rail,446.64603343160684,1,5000.0,803.9628601768924
dalian,jilin,road,690.4894050627242,0,5000.0,3107.202322782259
jilin,dalian,road,690.4894050627242,0,5000.0,3107.202322782259
dalian,jilin,rail,690.4894050627242,1,5000.0,1242.8809291129037
jilin,dalian,rail,690.4894050627242,1,5000.0,1242.8809291129037
dandong,jilin,road,496.4345473975436,0,5000.0,2233.9554632889462
jilin,dandong,road,496.4345473975436,0,5000.0,2233.9554632889462
dandong,jilin,rail,496.4345473975436,1,5000.0,893.5821853155785
jilin,dandong,rail,496.4345473975436,1,5000.0,893.5821853155785
dalian,tonghua,road,480.0817390001202,0,5000.0,2160.3678255005407
tonghua,dalian,road,480.0817390001202,0,5000.0,2160.3678255005407
dalian,tonghua,rail,480.0817390001202,1,5000.0,864.1471302002163
tonghua,dalian,rail,480.0817390001202,1,5000.0,864.1471302002163
dandong,tonghua,road,269.0298814831852,0,5000.0,1210.6344666743335
tonghua,dandong,road,269.0298814831852,0,5000.0,1210.6344666743335
dandong,tonghua,rail,269.0298814831852,1,5000.0,484.25378666973336
tonghua,dandong,rail,269.0298814831852,1,5000.0,484.25378666973336
dalian,harbin,road,864.3687102577165,0,5000.0,3889.6591961597246
harbin,dalian,road,864.3687102577165,0,5000.0,3889.6591961597246
dalian,harbin,rail,864.3687102577165,1,5000.0,1555.8636784638898
harbin,dalian,rail,864.3687102577165,1,5000.0,1555.8636784638898
dandong,harbin,road,686.9617091828853,0,5000.0,3091.327691322984
harbin,dandong,road,686.9617091828853,0,5000.0,3091.327691322984
dandong,harbin,rail,686.9617091828853,1,5000.0,1236.5310765291936
harbin,dandong,rail,686.9617091828853,1,5000.0,1236.5310765291936
shenyang,tonghua,road,205.11764070247514,0,5000.0,923.0293831611382
tonghua,shenyang,road,205.11764070247514,0,5000.0,923.0293831611382
shenyang,tonghua,rail,205.11764070247514,1,5000.0,369.21175326445524
tonghua,shenyang,rail,205.11764070247514,1,5000.0,369.21175326445524
anshan,shenyang,road,74.52619292072225,0,5000.0,335.3678681432501
shenyang,anshan,road,74.52619292072225,0,5000.0,335.3678681432501
anshan,shenyang,rail,74.52619292072225,1,5000.0,134.14714725730005
shenyang,anshan,rail,74.52619292072225,1,5000.0,134.14714725730005
anshan,changchun,road,355.87065783333946,0,5000.0,1601.4179602500276
changchun,anshan,road,355.87065783333946,0,5000.0,1601.4179602500276
anshan,changchun,rail,355.87065783333946,1,5000.0,640.5671841000111
changchun,anshan,rail,355.87065783333946,1,5000.0,640.5671841000111
anshan,jilin,road,427.193383790339,0,5000.0,1922.3702270565254
jilin,anshan,road,427.193383790339,0,5000.0,1922.3702270565254
anshan,jilin,rail,427.193383790339,1,5000.0,768.9480908226102
jilin,anshan,rail,427.193383790339,1,5000.0,768.9480908226102
anshan,tonghua,road,254.63994232883192,0,5000.0,1145.8797404797438
tonghua,anshan,road,254.63994232883192,0,5000.0,1145.8797404797438
anshan,tonghua,rail,254.63994232883192,1,5000.0,458.3518961918975
tonghua,anshan,rail,254.63994232883192,1,5000.0,458.3518961918975
anshan,harbin,road,594.5034253857837,0,5000.0,2675.2654142360266
harbin,anshan,road,594.5034253857837,0,5000.0,2675.2654142360266
anshan,harbin,rail,594.5034253857837,1,5000.0,1070.1061656944107
harbin,anshan,rail,594.5034253857837,1,5000.0,1070.1061656944107
changchun,shenyang,road,281.34466466301814,0,5000.0,1266.0509909835816
shenyang,changchun,road,281.34466466301814,0,5000.0,1266.0509909835816
changchun,shenyang,rail,281.34466466301814,1,5000.0,506.42039639343267
shenyang,changchun,rail,281.34466466301814,1,5000.0,506.42039639343267
changchun,jilin,road,100.03647291169548,0,5000.0,450.16412810262966
jilin,changchun,road,100.03647291169548,0,5000.0,450.16412810262966
changchun,jilin,rail,100.03647291169548,1,5000.0,180.06565124105188
jilin,changchun,rail,100.03647291169548,1,5000.0,180.06565124105188
changchun,tonghua,road,236.5824188885338,0,5000.0,1064.620884998402
tonghua,changchun,road,236.5824188885338,0,5000.0,1064.620884998402
changchun,tonghua,rail,236.5824188885338,1,5000.0,425.8483539993608
tonghua,changchun,rail,236.5824188885338,1,5000.0,425.8483539993608
changchun,harbin,road,240.98344190026702,0,5000.0,1084.4254885512016
harbin,changchun,road,240.98344190026702,0,5000.0,1084.4254885512016
changchun,harbin,rail,240.98344190026702,1,5000.0,433.77019542048066
harbin,changchun,rail,240.98344190026702,1,5000.0,433.77019542048066
jilin,shenyang,road,354.1598600741277,0,5000.0,1593.7193703335747
shenyang,jilin,road,354.1598600741277,0,5000.0,1593.7193703335747
jilin,shenyang,rail,354.1598600741277,1,5000.0,637.4877481334299
