scenario,node,period,eta
0,dalian,1,379.35330959247176
0,yingkou,1,243.68930727001452
0,dandong,1,19.6501347974039
0,shenyang,1,318.4955701289562
0,anshan,1,34.617227300132164
0,changchun,1,242.425216353814
0,jilin,1,54.40666401512766
0,tonghua,1,19.882915010059016
0,harbin,1,202.95889370874494
0,dalian,2,332.1957378988579
0,yingkou,2,252.47783588801727
0,dandong,2,22.273936179929535
0,shenyang,2,395.6900259543331
0,anshan,2,30.993555371502318
0,changchun,2,300.63084977742125
0,jilin,2,61.23589994681551
0,tonghua,2,11.464543179713981
0,harbin,2,204.5163079749252
0,dalian,3,235.04845274062635
0,yingkou,3,170.64415934728893
0,dandong,3,13.13206571286198
0,shenyang,3,369.29949697718786
0,anshan,3,28.427127597324763
0,changchun,3,318.80606842153657
0,jilin,3,55.445387683383665
0,tonghua,3,15.093784557640463
0,harbin,3,111.80541078001723
0,dalian,4,338.3990664642409
0,yingkou,4,227.71944152100468
0,dandong,4,21.261138763801757
0,shenyang,4,268.92835763026994
0,anshan,4,34.44143104972559
0,changchun,4,243.21916615913446
0,jilin,4,45.063382001695956
0,tonghua,4,19.006978082938744
0,harbin,4,188.7615587778567
1,dalian,1,376.79316363647234
1,yingkou,1,270.6230900009522
1,dandong,1,18.363389400653354
1,shenyang,1,378.8626520994293
1,anshan,1,38.92129491498805
1,changchun,1,306.2575217069462
1,jilin,1,40.58819975435696
1,tonghua,1,15.918775762462298
1,harbin,1,286.299665740491
1,dalian,2,261.90598187459835
1,yingkou,2,269.4730098221133
1,dandong,2,21.286274038846386
1,shenyang,2,337.8034785751139
1,anshan,2,53.3151724169439
1,changchun,2,348.5014673868834
1,jilin,2,40.86524572456464
1,tonghua,2,15.913682893427309
1,harbin,2,251.08487181516642
1,dalian,3,364.940498227895
1,yingkou,3,261.3570431883075
1,dandong,3,20.513420982818733
1,shenyang,3,439.2343549549037
1,anshan,3,49.03578805805326
1,changchun,3,261.53594705917817
1,jilin,3,55.94414633890907
1,tonghua,3,14.22706743997553
1,harbin,3,230.85013294703182
1,dalian,4,289.20892067351116
1,yingkou,4,203.30791957684204
1,dandong,4,19.974217145078907
1,shenyang,4,457.17779514327
1,anshan,4,46.802010808770675
1,changchun,4,222.3530391105523
1,jilin,4,45.21600528090724
