node,period,xi,eta_bar,E
anshan,1,91.27511627906979,38.080000000000005,
anshan,2,91.27511627906979,38.080000000000005,
anshan,3,91.27511627906979,38.080000000000005,
anshan,4,91.27511627906979,38.080000000000005,
anshan,5,91.27511627906979,38.080000000000005,
anshan,6,91.27511627906979,38.080000000000005,
changchun,1,69.65732558139537,302.40000000000003,
changchun,2,69.65732558139537,302.40000000000003,
changchun,3,69.65732558139537,302.40000000000003,
changchun,4,69.65732558139537,302.40000000000003,
changchun,5,69.65732558139537,302.40000000000003,
changchun,6,69.65732558139537,302.40000000000003,
dalian,1,672.553488372093,379.26,
dalian,2,672.553488372093,379.26,
dalian,3,672.553488372093,379.26,
dalian,4,672.553488372093,379.26,
dalian,5,672.553488372093,379.26,
dalian,6,672.553488372093,379.26,
dandong,1,201.76604651162793,20.790000000000003,57.64744186046512
dandong,2,201.76604651162793,20.790000000000003,57.64744186046512
dandong,3,201.76604651162793,20.790000000000003,57.64744186046512
dandong,4,201.76604651162793,20.790000000000003,57.64744186046512
dandong,5,201.76604651162793,20.790000000000003,57.64744186046512
dandong,6,201.76604651162793,20.790000000000003,57.64744186046512
harbin,1,69.65732558139537,225.12,
harbin,2,69.65732558139537,225.12,
harbin,3,69.65732558139537,225.12,
harbin,4,69.65732558139537,225.12,
harbin,5,69.65732558139537,225.12,
harbin,6,69.65732558139537,225.12,
jilin,1,69.65732558139537,53.76,
jilin,2,69.65732558139537,53.76,
jilin,3,69.65732558139537,53.76,
jilin,4,69.65732558139537,53.76,
jilin,5,69.65732558139537,53.76,
jilin,6,69.65732558139537,53.76,
shenyang,1,91.27511627906979,387.52,
shenyang,2,91.27511627906979,387.52,
shenyang,3,91.27511627906979,387.52,
shenyang,4,91.27511627906979,387.52,
shenyang,5,91.27511627906979,387.52,
shenyang,6,91.27511627906979,387.52,
tonghua,1,69.65732558139537,15.68,
tonghua,2,69.65732558139537,15.68,
tonghua,3,69.65732558139537,15.68,
tonghua,4,69.65732558139537,15.68,
tonghua,5,69.65732558139537,15.68,
tonghua,6,69.65732558139537,15.68,
yingkou,1,201.76604651162793,229.95,57.64744186046512
yingkou,2,201.76604651162793,229.95,57.64744186046512
yingkou,3,201.76604651162793,229.95,57.64744186046512
yingkou,4,201.76604651162793,229.95,57.64744186046512
yingkou,5,201.76604651162793,229.95,57.64744186046512
yingkou,6,201.76604651162793,229.95,57.64744186046512
