scenario,node,period,eta
0,dalian,1,402.3733999335331
0,yingkou,1,182.1211309539996
0,dandong,1,23.910376072163253
0,shenyang,1,460.41752777918464
0,anshan,1,23.220916003212384
0,changchun,1,223.64418342496703
0,jilin,1,55.13454001485465
0,tonghua,1,14.688263230410525
0,harbin,1,224.36354468452691
0,dalian,2,314.5549120056888
0,yingkou,2,270.39351286394145
0,dandong,2,24.02405886751357
0,shenyang,2,392.63764318378446
0,anshan,2,46.66506903226855
0,changchun,2,330.67496501940377
0,jilin,2,44.52088743907942
0,tonghua,2,16.836402458882716
0,harbin,2,181.94726978027515
0,dalian,3,445.8922122547592
0,yingkou,3,227.65390735374223
0,dandong,3,20.021342292378808
0,shenyang,3,334.7452365905169
0,anshan,3,47.39087483534142
0,changchun,3,293.05405692447886
0,jilin,3,49.154619256102265
0,tonghua,3,14.575709185668911
0,harbin,3,249.086688770354
0,dalian,4,406.9796631701441
0,yingkou,4,248.9315728072995
0,dandong,4,22.58135373050678
0,shenyang,4,553.5062556578642
0,anshan,4,34.98474323521477
0,changchun,4,271.4195597457535
0,jilin,4,45.01031562587882
0,tonghua,4,17.611711469196756
0,harbin,4,275.9508485074654
1,dalian,1,370.6168574419624
1,yingkou,1,191.31120362449332
1,dandong,1,17.36180710515583
1,shenyang,1,437.9435434275656
1,anshan,1,43.740623767885424
1,changchun,1,335.2499701470982
1,jilin,1,46.604439627231955
1,tonghua,1,16.408057909137234
1,harbin,1,230.37366187075216
1,dalian,2,395.8479674390891
1,yingkou,2,270.02700949783724
1,dandong,2,21.719710291805132
1,shenyang,2,440.13851679232414
1,anshan,2,38.594682193227406
1,changchun,2,319.8859412327703
1,jilin,2,60.54761100421599
1,tonghua,2,11.11035934893263
1,harbin,2,210.72712315472887
1,dalian,3,343.5812934265829
1,yingkou,3,200.5680077592887
1,dandong,3,19.64595851939945
1,shenyang,3,503.3839313859106
1,anshan,3,31.485830222880264
1,changchun,3,360.9614748856928
1,jilin,3,35.66578421558687
1,tonghua,3,14.62980054596461
1,harbin,3,232.44779400328778
1,dalian,4,423.72613627826394
1,yingkou,4,262.6593104046734
1,dandong,4,24.088737803961294
1,shenyang,4,360.4924120004571
1,anshan,4,34.55872874706666
1,changchun,4,354.2903812984327
1,jilin,4,51.703095898872874
1,tonghua,4,11.679447690012276
1,harbin,4,174.0948764767073
2,dalian,1,309.5177052022058
2,yingkou,1,252.8144226190326
2,dandong,1,21.382206210581412
2,shenyang,1,441.0353768816683
2,anshan,1,34.82604384550096
2,changchun,1,311.9884805163197
2,jilin,1,60.486347915936804
2,tonghua,1,14.709889251437332
2,harbin,1,245.6858482957849
2,dalian,2,329.05159351821237
2,yingkou,2,213.25315359647234
2,dandong,2,19.202733836754952
2,shenyang,2,294.83764410826706
2,anshan,2,41.788782413663
2,changchun,2,274.0105464645393
2,jilin,2,53.894336764560094
2,tonghua,2,17.18762152232893
2,harbin,2,245.2246196695722
2,dalian,3,429.7307912858038
2,yingkou,3,225.4206525674116
2,dandong,3,19.029925618520412
2,shenyang,3,381.34151978191045
2,anshan,3,25.22926095097565
2,changchun,3,214.8786376678517
2,jilin,3,39.53833376796546
2,tonghua,3,12.552633948641752
2,harbin,3,243.119434783996
2,dalian,4,310.5776026928287
2,yingkou,4,212.55830413972845
2,dandong,4,26.192191262194463
2,shenyang,4,359.90811718685524
2,anshan,4,43.69691856944534
2,changchun,4,245.93480271300265
2,jilin,4,51.55113537780724
2,tonghua,4,12.700730835800417
2,harbin,4,209.8553747906531
3,dalian,1,442.99905284241834
3,yingkou,1,150.51053373738387
3,dandong,1,22.596333509863676
3,shenyang,1,405.94546012316084
3,anshan,1,33.55495393741322
3,changchun,1,214.94242096658627
3,jilin,1,54.535536466939526
3,tonghua,1,14.019510864375915
3,harbin,1,235.5960137400342
3,dalian,2,380.9175289422442
3,yingkou,2,303.6158112118489
3,dandong,2,19.79475930096717
3,shenyang,2,308.19485033183497
3,anshan,2,39.44536323582731
3,changchun,2,315.7053994466124
3,jilin,2,68.37398480898517
3,tonghua,2,18.298908867188118
3,harbin,2,241.1877625671475
3,dalian,3,490.2544509047862
3,yingkou,3,175.27878713169207
3,dandong,3,18.12991312682655
3,shenyang,3,315.70665823730616
3,anshan,3,35.11120853916567
3,changchun,3,219.13802179579446
3,jilin,3,60.58914298014847
3,tonghua,3,14.983109621898246
3,harbin,3,158.89841739631234
3,dalian,4,302.22629553224556
3,yingkou,4,244.36850184423446
3,dandong,4,24.27493026930484
3,shenyang,4,542.2746310296802
3,anshan,4,60.27197654111183
